Create a market of a floating city in the sky,FALSE,FALSE,FALSE,FALSE
Create a hidden library of magical tomes,FALSE,FALSE,FALSE,FALSE
Create crystal caverns made from emotional energies,FALSE,FALSE,FALSE,FALSE
"Create a cartographer of dreams, living only within the worlds of others",FALSE,FALSE,FALSE,TRUE
Create a guardian of an interdimensional stargate,FALSE,FALSE,FALSE,TRUE
"Create the weaver of fate, creating tapestries of people's lives",FALSE,FALSE,FALSE,TRUE
An abandoned greenhouse made from regal times,FALSE,FALSE,TRUE,FALSE
"A hidden courtyard in an traditional, Europian town",FALSE,FALSE,TRUE,FALSE
A view from the rooftops of a rain-soaked metropolis at dawn,FALSE,FALSE,TRUE,FALSE
A gardener trying to liven their dull urban rooftop,FALSE,FALSE,TRUE,TRUE
"A young teacher caught between the reality they grew up in, versus the reality their students are facing",FALSE,FALSE,TRUE,TRUE
"A restorer of old paintings, restoring a gorgeous piece of art in their artsy abode ",FALSE,FALSE,TRUE,TRUE
"Create a plane of existance of infinite, interconnected geometry",FALSE,TRUE,FALSE,FALSE
"Create the land between dreams, where a dream traveler may traverse",FALSE,TRUE,FALSE,FALSE
Create a sea of forgotten ships of the sea and hint their past,FALSE,TRUE,FALSE,FALSE
Create a high ranking mage forging a spell of your choice,FALSE,TRUE,FALSE,TRUE
Create a alchemist working on their next magical artifact/creation,FALSE,TRUE,FALSE,TRUE
"Create a traveller of time, investigating a time period of your choice",FALSE,TRUE,FALSE,TRUE
"A library lost to time, one seemingly sealed in the time period it was created in",FALSE,TRUE,TRUE,FALSE
"An oasis hidden within the biome of your choice, teeming with life and wonder",FALSE,TRUE,TRUE,FALSE
"A cafe packed with trinkets, each with their unique stories",FALSE,TRUE,TRUE,FALSE
A college student who's dressed fully in attire pertaining to their major/passion,FALSE,TRUE,TRUE,TRUE
"A street performer of whatever sort you'd like, performing on the bustling urban streets",FALSE,TRUE,TRUE,TRUE
"A hidden yet impactful caretaker of the city, which most would overlook",FALSE,TRUE,TRUE,TRUE
A mini garden cove with a magical tree at the center,TRUE,FALSE,FALSE,FALSE
"A mage's house within the forest, hidden from the public's view",TRUE,FALSE,FALSE,FALSE
The table of a alchemist fairy with ingredients laid out for their next potion,TRUE,FALSE,FALSE,FALSE
A fairy of darkness and of the night,TRUE,FALSE,FALSE,TRUE
A fire mage hailing from a desert nation,TRUE,FALSE,FALSE,TRUE
A faun person who loves flowers and nature,TRUE,FALSE,FALSE,TRUE
"A small park, focused on a park bench and the plantlife that surrounds it",TRUE,FALSE,TRUE,FALSE
Looking in on an apartment's balcony and what the eccentric person put on which,TRUE,FALSE,TRUE,FALSE
Close up of a vase of flowers,TRUE,FALSE,TRUE,FALSE
An art student sketching on a park bench,TRUE,FALSE,TRUE,TRUE
"A character in a flowing, floral dress, with cute accessories",TRUE,FALSE,TRUE,TRUE
A business person preparing files for a business meeting,TRUE,FALSE,TRUE,TRUE
"A garden with fun, fantastical plantlife",TRUE,TRUE,FALSE,FALSE
A little gaget of steampunk times,TRUE,TRUE,FALSE,FALSE
A magical accessory with unique powers/elements of your choice,TRUE,TRUE,FALSE,FALSE
A traveler of fantastical worlds,TRUE,TRUE,FALSE,TRUE
A fairy with the element of your choice,TRUE,TRUE,FALSE,TRUE
"A space cadet of a vast, highly futuristic nation",TRUE,TRUE,FALSE,TRUE
A rooftop planter with a plant choice of your pick,TRUE,TRUE,TRUE,FALSE
The outside of an old-timey shop,TRUE,TRUE,TRUE,FALSE
A book made by a craftsman,TRUE,TRUE,TRUE,FALSE
Draw a student in college,TRUE,TRUE,TRUE,TRUE
A wise artisan mentor,TRUE,TRUE,TRUE,TRUE
A young shopkeeper apprentice ,TRUE,TRUE,TRUE,TRUE